;datetime_600;geo_name;Precio mercado spot [€/MWh]
0;2025-01-01T00:00:00.000+01:00;Portugal;134.49
1;2025-01-01T00:00:00.000+01:00;Francia;12.36
2;2025-01-01T00:00:00.000+01:00;España;134.49
3;2025-01-01T00:00:00.000+01:00;Reino Unido;0.04
4;2025-01-01T00:00:00.000+01:00;Alemania;2.16
5;2025-01-01T00:00:00.000+01:00;Bélgica;10.62
6;2025-01-01T00:00:00.000+01:00;Países Bajos;13.62
7;2025-01-01T01:00:00.000+01:00;Portugal;131.59
8;2025-01-01T01:00:00.000+01:00;Francia;18.92
9;2025-01-01T01:00:00.000+01:00;España;131.59
10;2025-01-01T01:00:00.000+01:00;Reino Unido;3.21
11;2025-01-01T01:00:00.000+01:00;Alemania;1.6
12;2025-01-01T01:00:00.000+01:00;Bélgica;10.27
13;2025-01-01T01:00:00.000+01:00;Países Bajos;6.24
14;2025-01-01T02:00:00.000+01:00;Portugal;131.49
15;2025-01-01T02:00:00.000+01:00;Francia;16.66
16;2025-01-01T02:00:00.000+01:00;España;131.49
17;2025-01-01T02:00:00.000+01:00;Reino Unido;5.99
18;2025-01-01T02:00:00.000+01:00;Alemania;0.0
19;2025-01-01T02:00:00.000+01:00;Bélgica;8.38
20;2025-01-01T02:00:00.000+01:00;Países Bajos;4.16
21;2025-01-01T03:00:00.000+01:00;Portugal;131.42
22;2025-01-01T03:00:00.000+01:00;Francia;13.1
23;2025-01-01T03:00:00.000+01:00;España;131.42
24;2025-01-01T03:00:00.000+01:00;Reino Unido;0.68
25;2025-01-01T03:00:00.000+01:00;Alemania;-0.01
26;2025-01-01T03:00:00.000+01:00;Bélgica;6.61
27;2025-01-01T03:00:00.000+01:00;Países Bajos;3.28
28;2025-01-01T04:00:00.000+01:00;Portugal;120.49
29;2025-01-01T04:00:00.000+01:00;Francia;5.9
30;2025-01-01T04:00:00.000+01:00;España;120.49
31;2025-01-01T04:00:00.000+01:00;Reino Unido;-3.82
32;2025-01-01T04:00:00.000+01:00;Alemania;-0.01
33;2025-01-01T04:00:00.000+01:00;Bélgica;2.29
34;2025-01-01T04:00:00.000+01:00;Países Bajos;0.68
35;2025-01-01T05:00:00.000+01:00;Portugal;112.3
36;2025-01-01T05:00:00.000+01:00;Francia;9.27
37;2025-01-01T05:00:00.000+01:00;España;112.3
38;2025-01-01T05:00:00.000+01:00;Reino Unido;-4.83
39;2025-01-01T05:00:00.000+01:00;Alemania;-0.06
40;2025-01-01T05:00:00.000+01:00;Bélgica;3.01
41;2025-01-01T05:00:00.000+01:00;Países Bajos;0.0
42;2025-01-01T06:00:00.000+01:00;Portugal;112.3
43;2025-01-01T06:00:00.000+01:00;Francia;10.04
44;2025-01-01T06:00:00.000+01:00;España;112.3
45;2025-01-01T06:00:00.000+01:00;Reino Unido;-5.14
46;2025-01-01T06:00:00.000+01:00;Alemania;-0.09
47;2025-01-01T06:00:00.000+01:00;Bélgica;3.52
48;2025-01-01T06:00:00.000+01:00;Países Bajos;0.76
49;2025-01-01T07:00:00.000+01:00;Portugal;111.88
50;2025-01-01T07:00:00.000+01:00;Francia;7.23
51;2025-01-01T07:00:00.000+01:00;España;111.88
52;2025-01-01T07:00:00.000+01:00;Reino Unido;-2.39
53;2025-01-01T07:00:00.000+01:00;Alemania;-0.01
54;2025-01-01T07:00:00.000+01:00;Bélgica;2.55
55;2025-01-01T07:00:00.000+01:00;Países Bajos;0.79
56;2025-01-01T08:00:00.000+01:00;Portugal;112.09
57;2025-01-01T08:00:00.000+01:00;Francia;12.83
58;2025-01-01T08:00:00.000+01:00;España;112.09
59;2025-01-01T08:00:00.000+01:00;Reino Unido;-2.26
60;2025-01-01T08:00:00.000+01:00;Alemania;-0.01
61;2025-01-01T08:00:00.000+01:00;Bélgica;4.24
62;2025-01-01T08:00:00.000+01:00;Países Bajos;1.89
63;2025-01-01T09:00:00.000+01:00;Portugal;94.99
64;2025-01-01T09:00:00.000+01:00;Francia;13.76
65;2025-01-01T09:00:00.000+01:00;España;94.99
66;2025-01-01T09:00:00.000+01:00;Reino Unido;2.98
67;2025-01-01T09:00:00.000+01:00;Alemania;-0.04
68;2025-01-01T09:00:00.000+01:00;Bélgica;7.5
69;2025-01-01T09:00:00.000+01:00;Países Bajos;7.5
70;2025-01-01T10:00:00.000+01:00;Portugal;50.01
71;2025-01-01T10:00:00.000+01:00;Francia;17.95
72;2025-01-01T10:00:00.000+01:00;España;35.0
73;2025-01-01T10:00:00.000+01:00;Reino Unido;2.68
74;2025-01-01T10:00:00.000+01:00;Alemania;-0.03
75;2025-01-01T10:00:00.000+01:00;Bélgica;15.91
76;2025-01-01T10:00:00.000+01:00;Países Bajos;27.32
77;2025-01-01T11:00:00.000+01:00;Portugal;20.59
78;2025-01-01T11:00:00.000+01:00;Francia;20.59
79;2025-01-01T11:00:00.000+01:00;España;20.59
80;2025-01-01T11:00:00.000+01:00;Reino Unido;16.97
81;2025-01-01T11:00:00.000+01:00;Alemania;-0.1
82;2025-01-01T11:00:00.000+01:00;Bélgica;20.59
83;2025-01-01T11:00:00.000+01:00;Países Bajos;37.49
84;2025-01-01T12:00:00.000+01:00;Portugal;28.11
85;2025-01-01T12:00:00.000+01:00;Francia;28.11
86;2025-01-01T12:00:00.000+01:00;España;28.11
87;2025-01-01T12:00:00.000+01:00;Reino Unido;45.2
88;2025-01-01T12:00:00.000+01:00;Alemania;-0.05
89;2025-01-01T12:00:00.000+01:00;Bélgica;29.94
90;2025-01-01T12:00:00.000+01:00;Países Bajos;60.1
91;2025-01-01T13:00:00.000+01:00;Portugal;40.63
92;2025-01-01T13:00:00.000+01:00;Francia;30.0
93;2025-01-01T13:00:00.000+01:00;España;30.0
94;2025-01-01T13:00:00.000+01:00;Reino Unido;99.68
95;2025-01-01T13:00:00.000+01:00;Alemania;-0.1
96;2025-01-01T13:00:00.000+01:00;Bélgica;37.14
97;2025-01-01T13:00:00.000+01:00;Países Bajos;63.32
98;2025-01-01T14:00:00.000+01:00;Portugal;30.6
99;2025-01-01T14:00:00.000+01:00;Francia;21.5
100;2025-01-01T14:00:00.000+01:00;España;21.5
101;2025-01-01T14:00:00.000+01:00;Reino Unido;103.16
102;2025-01-01T14:00:00.000+01:00;Alemania;-1.01
103;2025-01-01T14:00:00.000+01:00;Bélgica;26.32
104;2025-01-01T14:00:00.000+01:00;Países Bajos;47.0
105;2025-01-01T15:00:00.000+01:00;Portugal;40.63
106;2025-01-01T15:00:00.000+01:00;Francia;10.68
107;2025-01-01T15:00:00.000+01:00;España;10.68
108;2025-01-01T15:00:00.000+01:00;Reino Unido;113.3
109;2025-01-01T15:00:00.000+01:00;Alemania;-0.01
110;2025-01-01T15:00:00.000+01:00;Bélgica;22.1
111;2025-01-01T15:00:00.000+01:00;Países Bajos;50.1
112;2025-01-01T16:00:00.000+01:00;Portugal;72.0
113;2025-01-01T16:00:00.000+01:00;Francia;20.18
114;2025-01-01T16:00:00.000+01:00;España;72.0
115;2025-01-01T16:00:00.000+01:00;Reino Unido;105.6
116;2025-01-01T16:00:00.000+01:00;Alemania;-0.01
117;2025-01-01T16:00:00.000+01:00;Bélgica;19.28
118;2025-01-01T16:00:00.000+01:00;Países Bajos;27.64
119;2025-01-01T17:00:00.000+01:00;Portugal;125.49
120;2025-01-01T17:00:00.000+01:00;Francia;35.72
121;2025-01-01T17:00:00.000+01:00;España;125.49
122;2025-01-01T17:00:00.000+01:00;Reino Unido;131.72
123;2025-01-01T17:00:00.000+01:00;Alemania;0.07
124;2025-01-01T17:00:00.000+01:00;Bélgica;41.92
125;2025-01-01T17:00:00.000+01:00;Países Bajos;79.97
126;2025-01-01T18:00:00.000+01:00;Portugal;149.72
127;2025-01-01T18:00:00.000+01:00;Francia;48.06
